Uuid,Void/Retire,Name,Description,Duration,Start Time,End Time,Max Load,Speciality,Location,Label Colour
7ba3aa21-cc56-47ca-bb4d-a60549f666c0,,Consulta ambulatoria por médico general,"Prestación 54 de la NTS N.° 249-MINSA/DGAIN-2026 en la UPSS Consulta Externa. La duración es una decisión operativa local.",20,,,,9f2a8cd0-32c6-4844-8df7-1ac9c4d79943,35d2234e-129a-4c40-abb2-1ae0b2400001,#feecae
1ef43565-9c96-4f58-bfd2-c864c7cedac1,,Teleconsulta por médico general,"Prestación 219 de la NTS N.° 249-MINSA/DGAIN-2026 en la UPSS Consulta Externa. La duración es una decisión operativa local.",20,,,,9f2a8cd0-32c6-4844-8df7-1ac9c4d79943,35d2234e-129a-4c40-abb2-1ae0b2400001,#defbe6
4ec5c4fe-cfe0-48ff-9e4d-2f201078feae,,Atención ambulatoria por enfermera(o),"Prestación 137 de la NTS N.° 249-MINSA/DGAIN-2026 en la UPSS Consulta Externa. La duración es una decisión operativa local.",20,,,,,35d2234e-129a-4c40-abb2-1ae0b2400001,#9ef0f0
c8d4f6e2-5b7a-41d9-93e4-7f6a8b3c2d01,,Atención ambulatoria por psicólogo(a),"Prestación 135 de la NTS N.° 249-MINSA/DGAIN-2026 en la UPSS Consulta Externa. La duración es una decisión operativa local.",45,,,,9c8b7a6d-5e4f-43c1-9a2b-8d3e6f5c2a10,35d2234e-129a-4c40-abb2-1ae0b2400001,#ffccf2
a6d7f9b3-2c5e-48d1-93e4-7f8a6b5c2d02,,Atención ambulatoria por obstetra,"Prestación 140 de la NTS N.° 249-MINSA/DGAIN-2026 en la UPSS Consulta Externa. Obstetra es una profesión, no la especialidad médica Ginecología y Obstetricia.",30,,,,,35d2234e-129a-4c40-abb2-1ae0b2400001,#ffb3b3
b3c2d4e5-f6a7-48d9-93e1-8f7a6b5c4d02,,Consulta ambulatoria por cirujano dentista general,"Prestación 142 de la NTS N.° 249-MINSA/DGAIN-2026 en la UPSS Consulta Externa. Odontología general es una categoría local de agenda y no la especialidad Cirugía Bucal y Maxilofacial.",30,,,,a0d4e64e-eb63-4271-bdf1-ffa10392c282,35d2234e-129a-4c40-abb2-1ae0b2400001,#b3e0ff
d4e5f6a7-b8c9-41e2-93f3-1a9b8c7d6e04,TRUE,Aplicación de inyectables,"Prestación 520 de la NTS N.° 249-MINSA/DGAIN-2026. Se retira de la agenda hasta que el hospital confirme la UPSS Tópico de Atención en Salud y su cartera habilitada.",15,,,,,35d2234e-129a-4c40-abb2-1ae0b2400001,#ffd699
e5f6a7b8-c9d0-42f3-93e4-2b0a9c8d7e05,TRUE,Atención de urgencias y emergencias,"Servicio retirado del dominio de citas: emergencia se gestiona como atención inmediata y cola operativa, no como cita programada.",,,,,,35d2234e-129a-4c40-abb2-1ae0b2400003,#ffdd99
f7a8b9c0-d1e2-43f4-93e5-3b1a9c8d7e06,TRUE,Atención inmediata del recién nacido,"Prestaciones 9 y 10 de la NTS N.° 249-MINSA/DGAIN-2026 en Centro Obstétrico. Se retira de citas porque es una atención inmediata vinculada al parto, no una prestación programable.",30,,,,14106bb7-dad6-4446-809d-737f4c128ae3,35d2234e-129a-4c40-abb2-1ae0b2400004,#e6b3cc
115b9e98-0bb4-4791-afa6-d21d071cfd87,,Hospitalización de cirugía general,"Prestación 296 de la NTS N.° 249-MINSA/DGAIN-2026 en la UPSS Hospitalización. La cita representa el ingreso programado, no la programación de un procedimiento quirúrgico.",60,,,,d8e2f4a0-b5c3-41d7-942a-6c4a1e9f3b22,35d2234e-129a-4c40-abb2-1ae0b2400002,#cce6ff
e6a43c30-71ac-4ec6-9757-c78a50ee8e8b,,Procedimientos de patología clínica,"Agrupador local de agenda para las prestaciones 488 a 493 de la NTS N.° 249-MINSA/DGAIN-2026 que estén habilitadas en la cartera efectiva del hospital.",15,,,,7e5d3c2b-8a9f-41d6-93c4-6b2a1f8e5d07,35d2234e-129a-4c40-abb2-1ae0b2400006,#d9e6cc
70b7402d-fdfe-4707-94d8-5eb5780ffde5,,Ecografía general y Doppler,"Prestación 418 de la NTS N.° 249-MINSA/DGAIN-2026 en la UPSS Diagnóstico por Imágenes. La duración es una decisión operativa local.",30,,,,2b4d6f8a-1c3e-49d5-93a7-8e5f6b3c2d01,35d2234e-129a-4c40-abb2-1ae0b2400013,#e6ccb3
74156b5c-b1b0-4432-b073-a8af65ebcb11,,Atención en farmacia clínica,"Prestación 440 de la NTS N.° 249-MINSA/DGAIN-2026 en la UPSS Farmacia. La duración es una decisión operativa local.",15,,,,,35d2234e-129a-4c40-abb2-1ae0b2400007,#e6e6fa
dcaa59d1-64f2-45f5-a930-2ccc0ef37e61,,Rehabilitación mediante terapia física,"Agrupador local de agenda alineado con las prestaciones 505 y 506 de la NTS N.° 249-MINSA/DGAIN-2026 en la UPSS Terapias de Medicina Física y de Rehabilitación.",45,,,,a85cfebd-f0ad-465e-859c-ee20ded8fa90,35d2234e-129a-4c40-abb2-1ae0b2400010,#c8f7c5
89bde58b-2161-4095-8e52-0d8b5003012b,,Hemodiálisis,"Prestación 433 de la NTS N.° 249-MINSA/DGAIN-2026 en la UPSS Diálisis. La duración es una decisión operativa local.",240,,,,e8a5a5bb-60f4-42e6-a96f-fd9da40d5c1a,35d2234e-129a-4c40-abb2-1ae0b2400011,#b8d8ff
3663f478-80fb-4585-b92f-7f82873198ee,,Atención ambulatoria por nutricionista,"Prestación 152 de la NTS N.° 249-MINSA/DGAIN-2026 en la UPSS Consulta Externa. No corresponde a la UPSS Nutrición y Dietética, que atiende soporte nutricional de pacientes hospitalizados.",30,,,,32f2c8e3-79cf-4016-939f-469bed37abdb,35d2234e-129a-4c40-abb2-1ae0b2400001,#d7f0b2
