Uuid,Void/Retire,Entity name,Name,Description,Min occurs,Max occurs,Datatype classname,Datatype config,Preferred handler classname,Handler config,_order:1000
3a988e33-a6c0-4b76-b924-01abb998944b,,Visit,Financiador,"El esquema de seguro que el paciente usa para cubrir los servicios de salud (se espera un UUID).",0,1,org.openmrs.customdatatype.datatype.ConceptDatatype,6b932638-242e-49ef-8ba7-0ae87199835c,,,
aac48226-d143-4274-80e0-264db4e368ee,,Visit,Número de Seguro,"Número de la póliza de seguro de salud del paciente.",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
5e13e902-2030-4f65-b9d5-9a4810c9a603,,Visit,Estado de Acreditación SIS,"Estado de acreditación SIS usado para la atención o FUA de esta visita.",0,1,org.openmrs.customdatatype.datatype.ConceptDatatype,9b3df0a1-0c58-4f55-9868-9c38f1db2005,,,
8c406bf8-d808-4b0b-9487-441f19537867,,Visit,Código de Tipo de Seguro SIS,"Código de tipo de seguro SIS (reportado por SETISIS: 01, 02, 03 o 04) usado para la atención o FUA de esta visita.",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
a4bbb0ae-9ecb-4d97-955d-b803ddcbb28e,,Visit,Contrato SIS FUA,"Código de contrato SIS usado para generar o sustentar el FUA de esta visita.",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
41beba80-1c4c-43c1-953b-b35c8e31d466,,Visit,Afiliación SIS RN/Temporal FUA,"Identificador compuesto DISA-TipoFormato-NroContrato-Correlativo usado para afiliación SIS de inscrito o temporal en esta visita.",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
e3a66f60-4abe-4948-b323-7c4935d8eb8a,,Visit,Fecha y Hora de Consulta SIS,"Fecha y hora en formato ISO 8601 en que se consultó SETISIS para esta visita.",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
ae865c38-69b3-4efe-bbd5-d991d2f8c8e6,,Visit,Resultado de Consulta SIS,"Código y descripción resumida del resultado SETISIS usado para esta visita.",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
d5c1a044-c1fb-47f8-a372-2950cd7fa961,,Visit,EESS SIS Asignado,"Código REANES y nombre del establecimiento SIS asignado usado como contexto administrativo de esta visita.",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
b3edab1d-9d01-4375-9ef4-f495bfe95ccf,,Visit,Referencia de Establecimiento,"Código o nombre del establecimiento de salud que refirió al paciente a esta visita.",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
9b640334-69e7-49a8-bc8d-1a379742f2f1,,Visit,Procedencia,"Localidad o dirección administrativa desde donde procede el paciente para esta visita. Se prellena desde la residencia del paciente y puede ajustarse para la atención.",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
0da4d3db-4385-40de-a4b0-fd8d89c4ec10,,Provider,Número de Colegiatura,"Número de Colegiatura del médico",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
08b7f0cb-907f-437f-a8da-85236f7b924e,,Provider,Labor Desempeñado,"Labor que desempeña la persona",0,3,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
0d52f06d-6cfa-45ae-b197-015d85e9a438,,Provider,Profesión,"Profesión de la persona",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
eacb4514-31cb-4b76-9ecf-cf3c343d8000,,Provider,Colegio Médico,"Colegio Médico del Profesional de Salud",0,1,org.openmrs.customdatatype.datatype.ConceptDatatype,a8dd12f7-50bc-490a-8253-0fc5284d93df,,,
0da4d3db-4385-40de-a4b0-fd8d89c4ec11,,Provider,Condición de Contrato,"Condición de contrato del provider",0,1,org.openmrs.customdatatype.datatype.ConceptDatatype,213303bf-eeff-41e8-87b7-daaceef77cd2,,,
223d5ce6-526a-4945-b5cc-bf748834adac,,Provider,Tipo de Documento de Identidad,"Código de tipo de documento de identidad del profesional de salud según tabla RENHICE/RENIEC",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
5347975f-9a4b-47a4-9eeb-faa00a00a053,,Provider,Número de Documento de Identidad,"Número de documento de identidad o carné de extranjería del profesional de salud",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
b4e17392-67f5-471f-808a-6ee006f78d92,,Provider,País Emisor del Documento,"Código ISO 3166-1 alfa-3 del país que emite el documento de identidad del profesional de salud",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
1369a3d1-0a26-4be0-98da-d175d6cf36ea,,Provider,Nombres,"Nombres del profesional de salud para identificación manual cuando no exista consulta RENIEC",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
c305ca30-39e0-427c-a4fd-a5597ca34642,,Provider,Apellido Paterno,"Apellido paterno del profesional de salud para identificación manual cuando no exista consulta RENIEC",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
c43e4719-eab5-4651-9c3f-665e136754b5,,Provider,Apellido Materno,"Apellido materno del profesional de salud para identificación manual cuando no exista consulta RENIEC",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
a5c42cf5-89d6-4d32-bfe7-042f2fb425d0,,Provider,Fecha de Nacimiento,"Fecha de nacimiento del profesional de salud en formato AAAA-MM-DD",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
4488ff05-3014-43db-8edc-1fed2a593f7d,,Provider,País de Nacimiento,"País de nacimiento del profesional de salud",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
eb9f8b26-bb80-4197-8104-5190cf0a3a7a,,Provider,Sexo,"Sexo del profesional de salud según registro de identificación",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
b3c974f3-bc1f-4e8a-840c-59d68b0428b1,,Provider,Denominación de Especialidad,"Denominación de la especialidad del profesional de salud",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
3f46dee0-0abf-4475-a750-b7545612767f,,Provider,Número de Registro Nacional de Especialidad,"Número de Registro Nacional de Especialidad (RNE) del profesional de salud",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
3961cbdd-3240-4b70-99ca-5f63af488b15,,Provider,Categorías de agenda habilitadas,"UUID de una categoría AppointmentSpeciality habilitada para el profesional. Es un mapping operativo local y no sustituye la especialidad ni el RNE oficiales.",0,,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
452bef6c-1e24-4229-bf6e-0f0d4f2a4d26,,Provider,Estado de Habilitación,"Estado de habilitación o no habilitación del profesional de salud",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
1fdeab72-48dc-4dd0-b082-245242500baf,,Provider,Fecha de Inicio Laboral,"Fecha de inicio de la relación laboral o contractual del profesional en la IPRESS",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
f94ad034-2a3d-45d0-8406-015efcc32064,,Provider,Fecha de Finalización Laboral,"Fecha de finalización de la relación laboral o contractual del profesional en la IPRESS",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
477b6752-dd5e-4757-bd68-96b89a2cf3b9,,Provider,Estado de Condición Laboral,"Estado activo o inactivo de la condición laboral del profesional en la IPRESS",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
0b600387-0527-4c4b-b527-b6251c0e55f4,,Provider,Unidad o Departamento IPRESS,"Unidad, departamento o estructura organizacional equivalente a la que está vinculado el profesional de salud",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
069856cd-a62b-400b-9755-40d26280c59e,,Provider,Cuenta de Usuario,"Cuenta de usuario asociada al profesional de salud",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
4c4e05bd-d81c-4f9e-9e42-dbc696912bf8,,Provider,Roles Asignados,"Roles asignados a la cuenta del profesional de salud",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
1aa0929f-b0bb-48f4-95a5-1efc3afd05d1,,Provider,Estado de Cuenta de Usuario,"Estado activo o inactivo de la cuenta de usuario del profesional de salud",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
a7a6507c-e09d-4028-805c-5c9d2817eff3,,Provider,Fecha de Caducidad del Certificado Digital,"Fecha de caducidad del certificado digital asociado al profesional de salud",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
ba8e90d1-3b9c-442e-b245-5b57ea34df64,,Provider,Código de Colegio Profesional,"Sufijo de dos dígitos del colegio profesional usado para construir el código de personal de salud RENHICE",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
4f13dbf4-eec2-45e4-8739-5335ce6b32ac,,Provider,Código de Personal de Salud RENHICE,"Código de 32 caracteres del personal de salud para RENHICE construido con país emisor, tipo y número de documento, y código de colegio profesional",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
6ffc9f6b-a9fb-434e-9b2d-4a2591cc16b3,,Visit,Observación Administrativa Emergencia,"Texto administrativo del contexto de ingreso de emergencia para pacientes no identificados o incapaces de comunicarse",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
06a0b8c6-cbdf-4b42-9cbd-871129db8758,,Visit,Número de turno de cola,Número operativo asignado a la visita para identificar el turno de atención en cola.,0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
193508ab-20c6-5291-9f23-0257335eaabd,,Visit,UUID de cita vinculada,UUID de una cita vinculada a la visita para trazabilidad entre los recursos oficiales de OpenMRS.,0,,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
eb8b793b-f259-451d-9c09-53aa0ffd0d3f,,Visit,Token técnico de persistencia de consulta,Identificador técnico único por intento usado para reconciliar la creación de una visita cuando la respuesta HTTP es ambigua.,0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
710da0b9-e15f-47f0-827a-e97f1937c81d,,Visit,Acompañante de consulta,"UUID de la persona registrada como acompañante del paciente para esta consulta específica.",0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
07c79e2a-b4e8-4100-9210-6f87bc9b77c9,,Location,Teléfono institucional,Número telefónico oficial publicado para contactar al establecimiento de salud.,0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
5fd2b028-5b40-4c85-9a65-01a7ea2cde2b,,Location,Código Único IPRESS,Código único de la Institución Prestadora de Servicios de Salud en el registro nacional.,0,1,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
