Uuid,Void/Retire,Name,Description,Datatype classname,Min occurs,Max occurs,Preferred handler classname,Handler config,_order:1000
70d8be3c-3a3c-4c64-b394-cee994f60cbe,,Descripción de la Lista,Descripción textual del propósito de la lista de pacientes,org.openmrs.customdatatype.datatype.FreeTextDatatype,0,1,,,
8f8da69a-6b7b-4c24-9c5e-ebcb81c692f9,,Ubicación de la Lista,Ubicación (UPSS) asociada a esta lista de pacientes,org.openmrs.customdatatype.datatype.LocationDatatype,0,1,,,
ca938ca5-5253-4f09-8380-10ce88ecb2dc,,Programa Asociado,Programa clínico vinculado a esta cohorte de pacientes,org.openmrs.customdatatype.datatype.FreeTextDatatype,0,1,,,
7672639d-447c-4254-833a-0ff11843519e,,Responsable de Seguimiento,Nombre o identificador del equipo o profesional responsable del seguimiento de la lista,org.openmrs.customdatatype.datatype.FreeTextDatatype,0,1,,,
4c6c906b-7e37-427c-b50d-8e346d599479,,Prioridad de Seguimiento,Prioridad operativa de la lista como alta media o baja,org.openmrs.customdatatype.datatype.FreeTextDatatype,0,1,,,
0f7f609c-cc47-4c94-96bc-ad3f4dd9cb25,,Estado de la Lista,Estado operativo de la lista como activa inactiva cerrada o en revisión,org.openmrs.customdatatype.datatype.FreeTextDatatype,0,1,,,
53592f4c-7373-4513-9b64-3c38e3a29787,,Fecha de Inicio de Seguimiento,Fecha desde la cual aplica el seguimiento de la lista en formato AAAA-MM-DD,org.openmrs.customdatatype.datatype.FreeTextDatatype,0,1,,,
1f94c49a-5605-496f-b7d0-b4c23fb7b4c5,,Fecha de Fin de Seguimiento,Fecha de cierre o fin del periodo de seguimiento de la lista en formato AAAA-MM-DD,org.openmrs.customdatatype.datatype.FreeTextDatatype,0,1,,,
374868fd-7978-433e-ae61-deaad6c30e32,,Criterio de Inclusión,Regla clínica administrativa o programática usada para incluir pacientes en la lista,org.openmrs.customdatatype.datatype.FreeTextDatatype,0,1,,,
1eb66a2f-f417-4d8d-95b5-c839d8f55d87,,Frecuencia de Seguimiento,Frecuencia esperada de revisión o contacto de pacientes de la lista,org.openmrs.customdatatype.datatype.FreeTextDatatype,0,1,,,
