Uuid,Void/Retire,Name,Description,_order:1000
eee9970e-7ca0-4e8c-a280-c33e9d5f6a04,,System List,Lista de pacientes generada por el sistema,
e71857cb-33af-4f2c-86ab-7223bcfa37ad,,My List,Lista de pacientes generada por el usuario,
ddaaa0ff-5be9-4aac-b378-914c3dc7cf22,,Lista CRED,Lista de niños y niñas para control de crecimiento y desarrollo según el paquete de atención infantil,
99fa668c-7301-4718-b3f5-6b7caeeda1de,,Lista de Gestantes,Lista de gestantes para seguimiento prenatal parto puerperio y alertas de riesgo obstétrico,
6595ac7c-84ea-484b-9202-64f4fc67c2f1,,Lista de Puerperio,Lista de madres para seguimiento del puerperio inmediato mediato o tardío,
e3f7b027-5593-498d-97b3-c5c9582e0153,,Lista de Inmunizaciones,Lista de pacientes con vacunas pendientes atrasadas o seguimiento de esquema regular,
3d375349-0598-4e5d-b198-258135786b1e,,Lista de Tuberculosis,Lista de personas afectadas por tuberculosis para seguimiento DOT controles y contactos,
89c08e2a-f0df-4c3a-9dc4-7b7e966b3246,,Lista de VIH,Lista de pacientes en atención integral VIH para seguimiento clínico TARGA y controles,
0c8af8a6-f219-405b-af0e-6dd7fe9bd0da,,Lista de Crónicos,Lista de pacientes con enfermedades no transmisibles como hipertensión diabetes enfermedad renal crónica u otros controles,
2dd4a7b3-5859-4f21-a2bd-0579c693194a,,Lista de Adulto Mayor,Lista de personas adultas mayores para VACAM seguimiento funcional cognitivo nutricional y salud mental,
498be080-7d3c-4b3b-bb8d-7116d06f9ae2,,Lista de Cáncer,Lista de pacientes para tamizaje seguimiento o referencia por cáncer cervical mama u otros,
7e5fcea6-8c35-400e-b0cd-397932c2da81,,Lista de Metaxénicas y Zoonosis,Lista de pacientes para seguimiento de dengue malaria leptospirosis leishmaniasis bartonelosis u otras zoonosis,
9929ab6c-b98e-4377-a18d-7f950ba0386a,,Lista de Referencias Pendientes,Lista de pacientes con referencia contrarreferencia interconsulta o traslado pendiente de cierre,
01eb6d3c-d645-44a3-83f7-8eb1f001bcb1,,Lista de Alto Riesgo,Lista transversal de pacientes con prioridad clínica social o epidemiológica para seguimiento activo,
