Uuid,Concept Numeric uuid,Label,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Criteria
c3de948e-6737-40de-8ed4-0162b20818af,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito en % 0 - < 29 dys,0,30,50,58,70,100,	$patient.getAgeInDays() <= 28
dce6ab3f-b70f-4127-93ee-15ab303e2de0,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito en % 28dys - <2 yrs,0,20,37,42,60,100,	$patient.getAgeInDays() > 28 && $patient.getAge() <= 1
16d28713-1ccb-439f-bf7e-bda702572fa8,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito en % 2 yrs - <15 yrs,0,20,38,44,60,100,	$patient.getAge() > 1 && $patient.getAge() <= 14
3cceb9a9-05e5-45c1-83b4-0dc20a196f16,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito en %  mujer > 14 yrs,0,20,38,48,60,100,	$patient.getGender().equals(""F"") && $patient.getAge() > 14
aef7e0e0-e63b-4fe5-a882-21ec1ac78421,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito en %  hombre > 14 yrs,0,20,40,54,65,100,	$patient.getGender().equals(""M"") && $patient.getAge() > 14
f0c6d3dc-a0d2-497c-921f-b7266d448fcf,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina prematuro 1ra semana,0,8,13.1,20,22,30,"$patient.getBirthdate() != null && !$patient.getBirthdate().after($date) && $fn.getWeeksBetween($patient.getBirthdate(), $date) >= 0 && $fn.getWeeksBetween($patient.getBirthdate(), $date) < 1 && {$fn.getLatestObs(""c2380004-0000-4000-8000-000000000004"", $patient)}.?[#this != null && #this.getObsDatetime() != null && !#this.getObsDatetime().after(#root['$date']) && #this.getValueNumeric() != null && #this.getValueNumeric() > 0 && #this.getValueNumeric() <= 20].size() == 1"
a769e98e-e91f-4d4c-b029-1c66e267f32a,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina prematuro 2da - 4ta semana,0,7,10.1,18,22,30,"$patient.getBirthdate() != null && !$patient.getBirthdate().after($date) && $fn.getWeeksBetween($patient.getBirthdate(), $date) >= 1 && $fn.getWeeksBetween($patient.getBirthdate(), $date) < 4 && {$fn.getLatestObs(""c2380004-0000-4000-8000-000000000004"", $patient)}.?[#this != null && #this.getObsDatetime() != null && !#this.getObsDatetime().after(#root['$date']) && #this.getValueNumeric() != null && #this.getValueNumeric() > 0 && #this.getValueNumeric() <= 20].size() == 1"
0502ff16-270e-423f-8fa6-95255fdc9b19,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina prematuro 5ta - 8va semana,0,6,8.1,16,22,30,"$patient.getBirthdate() != null && !$patient.getBirthdate().after($date) && $fn.getWeeksBetween($patient.getBirthdate(), $date) >= 4 && $fn.getWeeksBetween($patient.getBirthdate(), $date) < 8 && {$fn.getLatestObs(""c2380004-0000-4000-8000-000000000004"", $patient)}.?[#this != null && #this.getObsDatetime() != null && !#this.getObsDatetime().after(#root['$date']) && #this.getValueNumeric() != null && #this.getValueNumeric() > 0 && #this.getValueNumeric() <= 20].size() == 1"
a75289e3-427c-4e14-ad67-50fc34dcc733,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina nacido a término <2 meses,0,10,13.5,18.5,22,30,"$patient.getBirthdate() != null && !$patient.getBirthdate().after($date) && $fn.getMonthsBetween($patient.getBirthdate(), $date) >= 0 && $fn.getMonthsBetween($patient.getBirthdate(), $date) < 2 && {$fn.getLatestObs(""c2380004-0000-4000-8000-000000000004"", $patient)}.?[#this != null && #this.getObsDatetime() != null && !#this.getObsDatetime().after(#root['$date']) && #this.getValueNumeric() != null && #this.getValueNumeric() == 0].size() == 1"
539619f8-19ff-4063-9f6a-03a8d9331012,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina nacido a término 2 - 5 meses,0,7,9.5,13.5,22,30,"$patient.getBirthdate() != null && !$patient.getBirthdate().after($date) && $fn.getMonthsBetween($patient.getBirthdate(), $date) >= 2 && $fn.getMonthsBetween($patient.getBirthdate(), $date) < 6 && {$fn.getLatestObs(""c2380004-0000-4000-8000-000000000004"", $patient)}.?[#this != null && #this.getObsDatetime() != null && !#this.getObsDatetime().after(#root['$date']) && #this.getValueNumeric() != null && #this.getValueNumeric() == 0].size() == 1"
