Uuid,Concept Numeric uuid,Label,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Criteria
189a0af4-515b-443f-89c4-840543ff5945,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica 0 - <6 wks,0,59,70,100,160,250,$patient.getAgeInWeeks() < 6
f0f10f1e-5a22-4f9f-bf2b-1068733b14c9,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica 6 - <1 yrs,0,59,84,106,160,250,$patient.getAgeInWeeks() >= 6 && $patient.getAge() < 1
a8c47244-3c25-4e9e-8ca4-44823bc75818,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica 1 - <2 yrs,0,79,98,106,160,250,$patient.getAge() >= 1 && $patient.getAge() < 2
b5484d45-7e98-4bd9-85e9-68d20a87e06c,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica 2 - <6 yrs,0,79,99,112,160,250,$patient.getAge() >= 2 && $patient.getAge() < 6
06eac7ee-325f-4513-8eaa-78e3d0b1b79e,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica 6 - <13 yrs,0,90,104,124,220,250,$patient.getAge() >= 6 && $patient.getAge() < 13
7f04017e-554e-4030-b5c2-9e9faf9e324e,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica 13 - <16 yrs,0,90,118,132,220,250,$patient.getAge() >= 13 && $patient.getAge() < 16
15e55d98-325a-494e-92d3-774a9a6c3203,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica 16 - <18 yrs,0,90,110,140,220,250,$patient.getAge() >= 16 && $patient.getAge() < 18
3757097f-564d-41e7-a19f-d04c063ee93b,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica adulto 18 - <60 yrs,0,89,90,139,221,250,$patient.getAge() >= 18 && $patient.getAge() < 60
964adff7-7f53-45a1-8dc2-96e6191b480a,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica adulto mayor >=60 yrs,0,89,90,145,221,250,$patient.getAge() >= 60
c9a5c541-0988-4eba-86fd-9d21286289b6,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica gestante 0 - <14 wks,0,89,90,139,160,250,"$patient.getGender().equals(""F"") && $fn.isEnrolledInProgram(""3cb4ffd6-1b67-4c52-8398-4bf9844a415e"", $patient, $date) && {$fn.getLatestObs(""1e35f0dd-3bbb-4b45-96fd-2fc590c1b385"", $patient)}.?[#this != null && #this.getValueNumeric() != null && #this.getValueNumeric() >= 0 && #this.getValueNumeric() < 14].size() == 1"
