Uuid,Void/Retire,Fully specified name:es,Fully specified name:en,Short name:es,Short name:en,Description:es,Data class,Data type,_version:1,_order:1000
b866f130-b413-417f-ad5b-5b65daadbcf5,,Servicio de cola de admisión SIH.SALUS,SIH.SALUS admission queue service,Admisión,Admission,Flujo operativo de espera para admisión de pacientes.,Misc,N/A,,
51ce03e2-8987-4431-9e42-f8adca946c2c,,Servicio de cola de consulta externa SIH.SALUS,SIH.SALUS outpatient care queue service,Consulta externa,Outpatient care,Flujo operativo compartido de espera dentro de la UPSS Consulta Externa.,Misc,N/A,,
69d1f46b-c4cb-4760-afd2-d186c127f6ba,,Servicio de cola de farmacia SIH.SALUS,SIH.SALUS pharmacy queue service,Farmacia,Pharmacy,Flujo operativo de espera para la UPSS Farmacia.,Misc,N/A,,
5b3fc3a4-99a0-40ec-a1e2-058a032619c9,,Servicio de cola de patología clínica SIH.SALUS,SIH.SALUS clinical pathology queue service,Patología clínica,Clinical pathology,Flujo operativo de espera para la UPSS Patología Clínica.,Misc,N/A,,
0e4aef19-d959-42e3-bf0b-853d3296ed59,,Servicio de cola de hospitalización SIH.SALUS,SIH.SALUS hospitalization queue service,Hospitalización,Hospitalization,Flujo operativo de espera para ingresos a hospitalización.,Misc,N/A,,
e19800e7-c5a4-44b4-813d-04ad686e8151,,Servicio de cola de emergencia SIH.SALUS,SIH.SALUS emergency queue service,Emergencia,Emergency,Flujo operativo de triaje y atención dentro de la UPSS Emergencia.,Misc,N/A,,
44a5c416-af63-40f6-8167-f283f40fcab0,,Servicio de cola de centro obstétrico SIH.SALUS,SIH.SALUS obstetric center queue service,Centro obstétrico,Obstetric center,Flujo operativo del Centro Obstétrico; no representa la consulta ambulatoria por obstetra.,Misc,N/A,,
242d6a36-c921-4ad8-971e-89cf39df525d,,Servicio de cola de centro quirúrgico SIH.SALUS,SIH.SALUS surgical center queue service,Centro quirúrgico,Surgical center,Flujo operativo de procedimientos en Centro Quirúrgico; no representa la hospitalización.,Misc,N/A,,
d0dc9239-a16f-4efb-a313-4b9135dca233,,Servicio de cola de diagnóstico por imágenes SIH.SALUS,SIH.SALUS diagnostic imaging queue service,Diagnóstico por imágenes,Diagnostic imaging,Flujo operativo de espera para la UPSS Diagnóstico por Imágenes.,Misc,N/A,,
0e56ea09-42ea-4f66-ad53-76cbc770dcfa,,Servicio de cola de atención nutricional ambulatoria SIH.SALUS,SIH.SALUS outpatient nutrition queue service,Atención nutricional,Outpatient nutrition,Flujo operativo de atención ambulatoria por nutricionista dentro de Consulta Externa.,Misc,N/A,,
e771ce10-6edd-4d17-a54c-e5de0762b7c7,,Servicio de cola de rehabilitación SIH.SALUS,SIH.SALUS rehabilitation queue service,Rehabilitación,Rehabilitation,Flujo operativo de espera para Terapias de Medicina Física y de Rehabilitación.,Misc,N/A,,
c10289d4-0f22-4f0e-8242-1835259404d5,,Servicio de cola de hemodiálisis SIH.SALUS,SIH.SALUS hemodialysis queue service,Hemodiálisis,Hemodialysis,Flujo operativo de espera para hemodiálisis dentro de la UPSS Diálisis.,Misc,N/A,,
