Uuid,Void/Retire,Fully specified name:es,Fully specified name:en,Short name:es,Short name:en,Description:es,Data class,Data type,_version:1,_order:1002
bce2b1af-98b1-48a2-98a2-3e4ffb3c79c2,,Unidades de empaque de inventario,Inventory packaging units,Unidades de empaque,Packaging units,Conjunto controlado de unidades usadas para recibir almacenar y mover artículos de inventario.,ConvSet,N/A,,
3bbfaa44-d5b8-404d-b4c1-2bf49ad8ce25,,Motivos de ajuste de inventario,Inventory adjustment reasons,Motivos de ajuste,Adjustment reasons,Conjunto controlado de motivos que justifican un ajuste manual de existencias.,ConvSet,N/A,,
47f0825e-8648-47c2-b847-d3197ed6bb72,,Motivos de toma de inventario,Stock take reasons,Motivos de toma,Stock take reasons,Conjunto controlado de motivos para realizar un conteo físico de inventario.,ConvSet,N/A,,
2e1e8049-9cbe-4a2d-b1e5-8a91e5d7d97d,,Tipos de fuente de inventario,Stock source types,Tipos de fuente,Source types,Conjunto controlado para clasificar el origen de los artículos de inventario.,ConvSet,N/A,,
6d24eb6e-b42f-4706-ab2d-ae4472161f6a,,Categorías de artículos de inventario,Stock item categories,Categorías de inventario,Stock categories,Conjunto controlado para clasificar artículos administrados por Stock Management.,ConvSet,N/A,,
f1ce74fb-0760-4381-88f6-1d72d2d7b692,,Unidad de empaque de inventario: Caja,Inventory packaging unit: Box,Caja,Box,Unidad administrativa de empaque para inventario.,Units of Measure,N/A,,
3eb4aa1c-4847-4274-84b5-acff62db1ef7,,Unidad de empaque de inventario: Frasco,Inventory packaging unit: Bottle,Frasco,Bottle,Unidad administrativa de empaque para inventario.,Units of Measure,N/A,,
17a6ff79-64bf-4a1d-82c0-a96f0226a72b,,Unidad de empaque de inventario: Blíster,Inventory packaging unit: Blister,Blíster,Blister,Unidad administrativa de empaque para inventario.,Units of Measure,N/A,,
76c6d712-37a3-41ec-8251-d2a678b56013,,Unidad de empaque de inventario: Paquete,Inventory packaging unit: Package,Paquete,Package,Unidad administrativa de empaque para inventario.,Units of Measure,N/A,,
63005cf1-b64a-4b9b-9e2d-96886ecc9ba2,,Motivo de ajuste de inventario: Vencimiento,Inventory adjustment reason: Expired,Vencimiento,Expired,Existencia retirada o ajustada por fecha de vencimiento.,Misc,N/A,,
f4d53c51-8a0c-48d5-87aa-f134a1201951,,Motivo de ajuste de inventario: Daño o deterioro,Inventory adjustment reason: Damaged,Daño o deterioro,Damaged,Existencia dañada o deteriorada que no puede utilizarse.,Misc,N/A,,
c2a1d32d-7915-4551-8744-006597644a25,,Motivo de ajuste de inventario: Pérdida,Inventory adjustment reason: Lost,Pérdida,Lost,Existencia faltante cuya pérdida fue confirmada.,Misc,N/A,,
