Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,b866f130-b413-417f-ad5b-5b65daadbcf5,concept-set,100,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,51ce03e2-8987-4431-9e42-f8adca946c2c,concept-set,110,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,69d1f46b-c4cb-4760-afd2-d186c127f6ba,concept-set,120,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,5b3fc3a4-99a0-40ec-a1e2-058a032619c9,concept-set,130,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,0e4aef19-d959-42e3-bf0b-853d3296ed59,concept-set,140,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,e19800e7-c5a4-44b4-813d-04ad686e8151,concept-set,150,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,44a5c416-af63-40f6-8167-f283f40fcab0,concept-set,160,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,242d6a36-c921-4ad8-971e-89cf39df525d,concept-set,170,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,d0dc9239-a16f-4efb-a313-4b9135dca233,concept-set,180,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,0e56ea09-42ea-4f66-ad53-76cbc770dcfa,concept-set,190,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,e771ce10-6edd-4d17-a54c-e5de0762b7c7,concept-set,200,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,c10289d4-0f22-4f0e-8242-1835259404d5,concept-set,210,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,5fe6c774-f888-40e5-b54f-e308e5fa26c8,concept-set,220,,
