Concept,Member,Member Type,Sort Weight,_version:1,_order:1002
bce2b1af-98b1-48a2-98a2-3e4ffb3c79c2,f1ce74fb-0760-4381-88f6-1d72d2d7b692,concept-set,10,,
bce2b1af-98b1-48a2-98a2-3e4ffb3c79c2,3eb4aa1c-4847-4274-84b5-acff62db1ef7,concept-set,20,,
bce2b1af-98b1-48a2-98a2-3e4ffb3c79c2,17a6ff79-64bf-4a1d-82c0-a96f0226a72b,concept-set,30,,
bce2b1af-98b1-48a2-98a2-3e4ffb3c79c2,76c6d712-37a3-41ec-8251-d2a678b56013,concept-set,40,,
bce2b1af-98b1-48a2-98a2-3e4ffb3c79c2,4e4b4828-f550-4058-a121-3d7037da3868,concept-set,50,,
bce2b1af-98b1-48a2-98a2-3e4ffb3c79c2,5d6ab5d7-4cd8-443d-ba50-a46ef8e464ae,concept-set,60,,
bce2b1af-98b1-48a2-98a2-3e4ffb3c79c2,ff14032a-67cd-4490-a062-516a88ab38b1,concept-set,70,,
bce2b1af-98b1-48a2-98a2-3e4ffb3c79c2,385df0dd-10d4-4397-84ec-c99b3a860d96,concept-set,80,,
162402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bd1e9059-62b4-4967-a804-a63eda4f8657,concept-set,10,,
162402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1bf39dc2-bf7e-40b8-931c-9b634b8db71c,concept-set,20,,
162402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,5d6ab5d7-4cd8-443d-ba50-a46ef8e464ae,concept-set,30,,
162402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,ff14032a-67cd-4490-a062-516a88ab38b1,concept-set,40,,
162402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,4e4b4828-f550-4058-a121-3d7037da3868,concept-set,50,,
162402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,f6a87b91-52ab-4874-b675-ade61ef187e5,concept-set,60,,
162402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,385df0dd-10d4-4397-84ec-c99b3a860d96,concept-set,70,,
162402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,279455bb-fcdc-458c-85c5-a56c8afe1e21,concept-set,80,,
162402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,4af20968-0626-4240-bddb-0888b38e8aa9,concept-set,90,,
162402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,f5a3ae49-b8fd-4cfe-94ff-d3635ac0eef0,concept-set,100,,
162402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,723ee9ca-9520-4743-bc54-ac1368e12bd4,concept-set,110,,
162402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,a20cf338-f6db-5c52-89ab-04da3d66472d,concept-set,120,,
162402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,94951e94-3ee5-4185-8307-376d20309480,concept-set,130,,
162402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,97cfc8bc-98ed-4b4a-be15-e06d8a58bae7,concept-set,140,,
3bbfaa44-d5b8-404d-b4c1-2bf49ad8ce25,63005cf1-b64a-4b9b-9e2d-96886ecc9ba2,concept-set,10,,
3bbfaa44-d5b8-404d-b4c1-2bf49ad8ce25,f4d53c51-8a0c-48d5-87aa-f134a1201951,concept-set,20,,
3bbfaa44-d5b8-404d-b4c1-2bf49ad8ce25,c2a1d32d-7915-4551-8744-006597644a25,concept-set,30,,
3bbfaa44-d5b8-404d-b4c1-2bf49ad8ce25,8e7bd8a4-1550-4a0a-8946-6214af7016e7,concept-set,40,,
3bbfaa44-d5b8-404d-b4c1-2bf49ad8ce25,d54fb56b-25ee-4b90-be87-c15aff12d541,concept-set,50,,
47f0825e-8648-47c2-b847-d3197ed6bb72,969e4223-a0d6-4712-b922-2ae8f5529e19,concept-set,10,,
47f0825e-8648-47c2-b847-d3197ed6bb72,5e0e225b-573b-46b3-901d-52eae2d0a87e,concept-set,20,,
47f0825e-8648-47c2-b847-d3197ed6bb72,2d937af5-9d27-4872-86df-f67b994cb7aa,concept-set,30,,
47f0825e-8648-47c2-b847-d3197ed6bb72,84ad9db5-bfc0-41c2-a2f0-c375d3dfcd53,concept-set,40,,
2e1e8049-9cbe-4a2d-b1e5-8a91e5d7d97d,d9faecd7-55f8-4ecc-9c1d-2aa6f6896002,concept-set,10,,
2e1e8049-9cbe-4a2d-b1e5-8a91e5d7d97d,401f103e-8cd6-465f-8ec5-b728001e8c74,concept-set,20,,
2e1e8049-9cbe-4a2d-b1e5-8a91e5d7d97d,1721c2c7-716c-454f-8afa-9c70e33acb91,concept-set,30,,
2e1e8049-9cbe-4a2d-b1e5-8a91e5d7d97d,f5ee51ce-be47-4ad7-b32a-b5b45bb8e6a6,concept-set,40,,
6d24eb6e-b42f-4706-ab2d-ae4472161f6a,28a915ce-c7e4-4d3e-9cdd-dbd906f1fa50,concept-set,10,,
6d24eb6e-b42f-4706-ab2d-ae4472161f6a,1eae81d1-8598-460d-8122-440e31dba294,concept-set,20,,
6d24eb6e-b42f-4706-ab2d-ae4472161f6a,54b1b5d2-6a79-40ef-b28c-699c6bde50da,concept-set,30,,
6d24eb6e-b42f-4706-ab2d-ae4472161f6a,623dd598-f7d2-4829-a4a3-4ef771575332,concept-set,40,,
6d24eb6e-b42f-4706-ab2d-ae4472161f6a,5b289e74-3386-4fb1-bef3-41f27aa88345,concept-set,50,,
