Uuid,Void/Retire,Name,Description,View privilege,Edit privilege,_order:1000
186c1e78-a99f-4cd0-86de-b8c4ee27a2b5,,Consulta Externa,"Atención ambulatoria en consultorio médico para diagnóstico y tratamiento. Basado en la NTS N° 029-MINSA.",,,
e137c4de-8dbe-4d32-9a76-35f7d1b17f45,,Consulta Especializada,"Evento clínico de consulta especializada. No identifica cuál especialidad fue atendida; esa categoría se conserva en el servicio de cita y el profesional.",,,
67a71486-1a54-468f-ac3e-7091a9a79584,,Triaje,"Evaluación inicial de signos vitales y clasificación del paciente según urgencia. Basado en la NTS N° 021-MINSA.",,,
20d4a603-8472-484c-b2bf-b45bdecf6b4f,,Registro de signos vitales y antropometría,"Registro longitudinal de funciones vitales y mediciones antropométricas desde la historia clínica, separado de la clasificación de emergencia. Alineado con la NTS N° 139-MINSA/2018/DGAIN.",app:hoja.clinica.signosVitales,app:hoja.clinica.signosVitales.editar,
978deb64-358e-4c78-bbb0-04cea73df805,,Triaje de Emergencia,"Clasificación clínica inicial por prioridad dentro del servicio de emergencia. Basado en la NT N° 042-MINSA/DGSP-V.01.",app:home.emergencia,app:home.emergencia.editar,
8993b43c-7878-4e80-9257-1da45e84a904,,Hospitalización,"Registro del ingreso del paciente para hospitalización en áreas médicas, quirúrgicas, obstétricas o pediátricas. Basado en la NTS N° 032-MINSA.",,,
23bcca89-6dad-4a50-bed2-0ca224a9603f,,Alta Hospitalaria,"Registro del egreso del paciente hospitalizado con indicaciones para seguimiento. Basado en la NTS N° 032-MINSA.",,,
1b70fe57-92c1-4e35-87f7-13d0e04ff12f,,Atención en Emergencia,"Evaluación y manejo inmediato en situaciones de urgencia o emergencia médica. Basado en la NT N° 042-MINSA/DGSP-V.01.",,,
b212032f-9903-4696-ab31-173d432d1d3d,,Atención en Sala de Partos,"Atención del trabajo de parto y parto en un centro hospitalario. Basado en la NTS N° 050-MINSA.",,,
3a542b3a-79a8-4c97-a65b-d6ccc84171a7,,Atención de Seguimiento de Enfermedades Crónicas,"Manejo de hipertensión, diabetes, EPOC, y otras enfermedades crónicas. Basado en la NTS N° 067-MINSA.",,,
1b9f21c5-928c-4077-bc95-dcd4b1a5a366,,Evaluación de Salud Mental,"Evaluaciones psicológicas o psiquiátricas en consulta externa o en hospitalización. Basado en la R.M. 856-2019.",,,
79488027-0292-4807-afe4-9c037052be40,,Prescripción y Dispensación de Medicamentos,"Registro de indicación y entrega de medicamentos en farmacia hospitalaria o comunitaria. Basado en la NTS N° 042-MINSA.",,,
328f6f79-4a85-4ff8-9fb8-6b2c839c7649,,Resultados de Laboratorio,"Registro de resultados de pruebas de laboratorio clínico. Basado en la NTS N° 090-MINSA.",,,
29c02aff-9a93-46c9-bf6f-48b552fcb1fa,,Administración de Vacunas,"Registro de administración de vacunas del Esquema Nacional de Inmunización. Basado en la NTS N° 123-MINSA.",,,
6d6a8f9f-6e0a-4e41-bb8f-11f65d6b4bb0,,Odontograma Base,"Registro del odontograma base del paciente, usado como referencia longitudinal para hallazgos odontológicos.",,,
bfc5b59b-9a8b-4d95-a8f1-2c9b1fb6f9bb,,Odontograma de Atención,"Registro de soluciones o intervenciones odontológicas asociadas a una atención y vinculadas al odontograma base.",,,
54e3e45d-b7d7-4259-b64a-334e17b98c40,,Educación y Consejería en Salud,"Orientación en hábitos saludables, prevención de enfermedades y lactancia materna. Basado en la NTS N° 050-MINSA.",,,
e4834799-7f43-4552-a6f3-2656880ca52f,,Interconsulta,"Consulta solicitada por un médico a otra especialidad. Basado en la NTS N° 102-MINSA.",,,
16bec8b6-4a2d-4cf9-8e66-9bb6e1c5d1da,,Referencia y Contrarreferencia,"Registro de derivación de pacientes a otro nivel de atención o su retorno con informe médico. Basado en la NTS N° 102-MINSA.",,,
c1c5747b-b705-4390-a9ee-27ba7c4b0794,,Traslado Intra-Hospitalario,"Registro del movimiento del paciente dentro del hospital entre servicios o áreas. Basado en la NTS N° 032-MINSA.",,,
4c9dc097-a49a-464c-839a-612cc54943dc,,Asignación de Cama,"Registro de asignación de cama en hospitalización, emergencia o UCI. Basado en la NTS N° 032-MINSA.",,,
