Uuid,Void/Retire,Name,Description,Parent,Tag|Login Location,Tag|Visit Location,Tag|Care UPSS,Tag|Facility Location,Tag|Queue Location,Tag|Admission Location,Tag|Transfer Location,Tag|Appointment Location,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country,_order:1000
35d2234e-129a-4c40-abb2-1ae0b72c1602,FALSE,Hospital Santa Clotilde,Establecimiento de salud principal que brinda servicios integrales de atención en la región Napo de Loreto.,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,LORETO,,,,,,SANTA CLOTILDE,NAPO,MAYNAS,,PERU,
35d2234e-129a-4c40-abb2-1ae0b72c1603,FALSE,Casita Azul,"Clínica ambulatoria afiliada al Hospital Santa Clotilde, que ofrece atención primaria y servicios médicos básicos.",,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,LORETO,,,,,,SANTA CLOTILDE,NAPO,LORETO,,PERU,
35d2234e-129a-4c40-abb2-1ae0b2400001,FALSE,UPSS - CONSULTA EXTERNA,Unidad productora de servicios de salud de consulta externa del Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400002,FALSE,UPSS - HOSPITALIZACIÓN,Unidad productora de servicios de salud de hospitalización del Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400003,FALSE,UPSS - EMERGENCIA,Unidad productora de servicios de salud de emergencia del Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400004,FALSE,UPSS - CENTRO OBSTÉTRICO,Unidad productora de servicios de salud de centro obstétrico del Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400005,FALSE,UPSS - CENTRO QUIRÚRGICO,Unidad productora de servicios de salud de centro quirúrgico del Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400006,FALSE,UPSS - PATOLOGÍA CLÍNICA,Unidad productora de servicios de salud de patología clínica del Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400013,FALSE,UPSS - DIAGNÓSTICO POR IMÁGENES,Unidad productora de servicios de salud de diagnóstico por imágenes del Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400008,FALSE,UPSS - ANATOMÍA PATOLÓGICA,Unidad productora de servicios de salud de anatomía patológica del Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400007,FALSE,UPSS - FARMACIA,Unidad productora de servicios de salud de farmacia del Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400009,FALSE,UPSS - CENTRAL DE ESTERILIZACIÓN,Unidad productora de servicios de salud de soporte para desinfección y esterilización de material médico del Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400010,FALSE,UPSS - MEDICINA DE REHABILITACIÓN,Unidad productora de servicios de salud de medicina de rehabilitación del Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400011,FALSE,UPSS - DIÁLISIS,Unidad productora de servicios de salud de diálisis del Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400012,FALSE,UPSS - NUTRICIÓN Y DIETÉTICA,Unidad productora de soporte nutricional y dietético para pacientes hospitalizados del Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400113,FALSE,UPSS - SERVICIOS ADMINISTRATIVOS,Unidad de servicios administrativos del Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2270304,FALSE,UPS - Telemedicina,Unidad productora de servicios de telemedicina del Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
c46622d7-f43a-4d70-b515-ae871cef08e1,FALSE,Sala Varones Adultos,"Sala de hospitalización para varones adultos - 10 camas (Gobierno Regional de Loreto, 2023)",UPSS - HOSPITALIZACIÓN,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,
90e28b33-92b3-4b60-8364-f1e54f5444f4,FALSE,Sala Mujeres Adultas,"Sala de hospitalización para mujeres adultas - 9 camas (Gobierno Regional de Loreto, 2023)",UPSS - HOSPITALIZACIÓN,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,
f8775df7-2ff9-443e-93ee-0fde6184db72,FALSE,Sala Pediátrica,"Sala de hospitalización pediátrica - 3 camas (Gobierno Regional de Loreto, 2023)",UPSS - HOSPITALIZACIÓN,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,
4f2931e8-e66c-49ec-a773-38587d2169b3,FALSE,Sala Neonatal,"Sala de cunas para recién nacidos - 2 cunas (Gobierno Regional de Loreto, 2023)",UPSS - HOSPITALIZACIÓN,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,
e9f41b37-b1e1-41a2-af67-5a7a34672bd4,FALSE,Sala Maternidad,"Sala de hospitalización para maternidad - 2 camas (Gobierno Regional de Loreto, 2023)",UPSS - CENTRO OBSTÉTRICO,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,
465a6dd6-3285-4306-99e3-e35fd2c94ede,FALSE,Sala Infectología,"Sala de hospitalización para infectología - 2 camas (Gobierno Regional de Loreto, 2023)",UPSS - HOSPITALIZACIÓN,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,
