Uuid,Void/Retire,Name,Description,Required,Format,Format description,Validator,Location behavior,Uniqueness behavior
05a29f94-c0ed-11e2-94be-8c13b969e334,FALSE,N° Historia Clínica,"Identificador Unico Autogenerado para el HSC, con check-digit",TRUE,,,org.openmrs.module.idgen.validator.LuhnMod30IdentifierValidator,NOT_USED,UNIQUE
550e8400-e29b-41d4-a716-446655440001,FALSE,DNI,Documento Nacional de Identidad,FALSE,"^[0-9]{8}$","8 dígitos numéricos",,NOT_USED,UNIQUE
550e8400-e29b-41d4-a716-446655440002,FALSE,CE,Carné de Extranjería,FALSE,"^[A-Za-z0-9]{6,12}$","Entre 6 y 12 caracteres alfanuméricos",,NOT_USED,UNIQUE
550e8400-e29b-41d4-a716-446655440003,FALSE,PASS,Pasaporte,FALSE,"^[A-Za-z0-9]{6,9}$","Entre 6 y 9 caracteres alfanuméricos",,NOT_USED,UNIQUE
8d793bee-c2cc-11de-8d13-0010c6dffd0f,FALSE,DIE,"Documento de identidad extranjero; por ejemplo, cédula de identidad emitida por el país de origen",FALSE,,"Formato variable según el país emisor",,NOT_USED,NON_UNIQUE
8d79403a-c2cc-11de-8d13-0010c6dffd0f,FALSE,CNV,Certificado de Nacido Vivo,FALSE,"^[0-9]{12}$","12 dígitos numéricos",,NOT_USED,UNIQUE
6ff8b876-0aea-4219-b03f-dfc428ae05f4,FALSE,SIS Idnumreg,Código único de registro SIS del asegurado devuelto por SETISIS,FALSE,"^[A-Za-z0-9.-]{1,30}$","Código SIS de hasta 30 caracteres alfanuméricos, puntos y guiones",,NOT_USED,UNIQUE
406574d4-396a-4787-9c4e-0bbfa30de39f,FALSE,SIS Contrato,Código único de contrato SIS del asegurado devuelto por SETISIS,FALSE,"^[A-Za-z0-9.-]{1,30}$","Código de contrato SIS de hasta 30 caracteres alfanuméricos, puntos y guiones",,NOT_USED,UNIQUE
97d1a1f2-6b38-4319-9ea2-46a8763ad671,FALSE,SIS Afiliación RN/Temporal,"Identificador compuesto para afiliación SIS de inscrito o temporal: DISA-TipoFormato-NroContrato-Correlativo",FALSE,"^[A-Za-z0-9]+-[A-Za-z0-9]+-[A-Za-z0-9]+-[A-Za-z0-9]+$","DISA-TipoFormato-NroContrato-Correlativo normalizado",,NOT_USED,UNIQUE
68a90c20-eec8-433a-aa92-83e549d801db,FALSE,Afiliación temporal SIS,Número de afiliación temporal asignado por el SIS a una persona sin DNI,FALSE,"^E-[0-9]{8}$","E- seguido de 8 dígitos (ejemplo: E-41267525)",,NOT_USED,UNIQUE
0b1f2c3d-4e5a-4b6c-8d7e-9f0a1b2c3d4e,FALSE,Receta Única (correlativo),"Correlativo de la Receta Única Estandarizada (RM 116-2018). Tipo técnico: numera documentos emitidos, NO se asigna a pacientes en el registro",FALSE,,,,NOT_USED,NON_UNIQUE
