Uuid,Void/Retire,Name,Description,Format,Foreign UUID,Searchable
14d4f066-15f5-102d-96e4-000c29c2a5d7,,Número de Teléfono,Número de telefono de contacto de la persona,java.lang.String,,
fee4e8ef-aef8-4bb9-8ed0-7ded6055c61f,,Número de Celular,Número de celular de contacto de la persona,java.lang.String,,
4bdf3a33-2f63-11f0-8ab4-1a7535b1b3e8,,Correo Electrónico,Dirección de Correo Electrónico de la persona,java.lang.String,,
1ce1e136-7b03-451f-8a93-7b6a90379202,,UBIGEO de Nacimiento,Código UBIGEO del distrito de nacimiento de la persona.,java.lang.String,,true
77bbb234-2312-4644-99d0-fa894d438817,,Religión,"Religión de la persona",org.openmrs.Concept,6de6d87e-5af8-41d9-98d2-b660fabf25d9,true
8d871386-c2cc-11de-8d13-0010c6dffd0f,,Etnia,"Grupo étnico con el que la persona se identifica (Ej. Quechua, Aimara, Asháninka, Afroperuano)",org.openmrs.Concept,70482c1e-181e-416d-a0c4-a93919f9f2ef,true
9b3df0a1-0c58-4f55-9868-9c38f1db1007,,País de Nacionalidad,"País correspondiente a la nacionalidad declarada por la persona.",org.openmrs.Concept,7869ef7a-be6c-4108-9ee5-9cc7470e0b2d,true
8d872150-c2cc-11de-8d13-0010c6dffd0f,,Idioma,"Idioma que la persona habla en su comunidad (Ej. Español, Quechua, Aimara, Shipibo-Konibo)",org.openmrs.Concept,52f75b05-9a74-57b3-baeb-d2d300b62b09,true
8d871afc-c2cc-11de-8d13-0010c6dffd0f,,Ocupación,"Profesión o actividad principal de la persona (Ej. Agricultor, Comerciante, Ama de Casa)",org.openmrs.Concept,d1c52a69-46b2-5c1e-ab88-5d5e6d2c8b49,true
8d87236c-c2cc-11de-8d13-0010c6dffd0f,,Grado de Instrucción,"Nivel de educación alcanzado por la persona (Ej. Primaria, Secundaria, Superior)",org.openmrs.Concept,2d790984-f088-4d68-984d-efab9db8c889,true
8d871f2a-c2cc-11de-8d13-0010c6dffd0f,,Estado Civil,"Estado civil de la persona (Ej. Soltero, Casado, Viudo, Divorciado, Unión Libre)",org.openmrs.Concept,aa345a81-3811-4e9c-be18-d6be727623e0,true
9b3df0a1-0c58-4f55-9868-9c38f1db1001,,Grupo Sanguíneo,Grupo sanguíneo ABO de la persona,org.openmrs.Concept,9b3df0a1-0c58-4f55-9868-9c38f1db2001,true
9b3df0a1-0c58-4f55-9868-9c38f1db1002,,Factor Rh,Factor Rh de la persona,org.openmrs.Concept,54b52ca9-8168-4f63-b2a3-a18899bf0baa,true
6f5c0b8a-9e91-4d41-9a8c-8b0f3c2e7a11,,Tipo de Documento de Identidad,"Tipo de documento civil principal de la persona registrado en admisión: DNI, CE, pasaporte, DIE (por ejemplo, cédula de identidad del país de origen), CNV o sin documento",org.openmrs.Concept,0ee5c6c4-16d0-5952-b3b3-d3a098e184fa,true
c0d1a2b3-4e5f-4a6b-9c7d-8e9f0a1b2c3d,,Código de Documento de Identidad,"Número o código del documento civil principal de la persona. Debe guardarse normalizado: sin espacios ni guiones, en mayúsculas para documentos alfanuméricos.",java.lang.String,,true
a7e3f8c1-2d4b-4f9a-8c6e-1b2d3f4a5c6e,,Estado de Verificación de Identidad,"Estado de verificación documental de la identidad civil de la persona: no verificado, validado por RENIEC, validado manualmente, en conflicto o sin documento.",org.openmrs.Concept,eae30f8f-02f7-497a-a9e6-5b6516301a6d,true
e2a9c7b1-5d6f-4c8a-9b3e-7f1d2a0c6e5b,,Fuente de Verificación de Identidad,"Fuente usada para verificar o registrar la identidad civil de la persona: RENIEC, Migraciones, documento físico, carga masiva, declaración verbal o manual.",org.openmrs.Concept,95ae0627-f7bd-4819-83f1-98638b3bbaef,true
4a9e2c7f-6d1b-4b8a-9f3e-2c5d7a0b1e6f,,Fecha y Hora de Verificación de Identidad,"Fecha y hora en formato ISO 8601 en que se verificó o registró la identidad civil de la persona.",java.lang.String,,
d3e5b4d9-93c2-461e-822e-3cecd64b1842,,Observación de Verificación de Identidad,"Observación administrativa cuando hay conflicto, corrección manual o diferencia entre datos locales y fuente externa.",java.lang.String,,
56188294-b42c-481d-a987-4b495116c580,,Tipo de Seguro de Salud,"Tipo de seguro de la persona (Ej. SIS, EsSalud, EPS, Ninguno).",org.openmrs.Concept,6b932638-242e-49ef-8ba7-0ae87199835c,true
374b130f-7457-476f-87b1-f182aa77c434,,Código de Seguro,Código de afiliación o seguro del paciente,java.lang.String,,
9b3df0a1-0c58-4f55-9868-9c38f1db1005,,Estado de Acreditación de Seguro,Estado de acreditación registrado para el seguro del paciente,org.openmrs.Concept,9b3df0a1-0c58-4f55-9868-9c38f1db2005,true
9b3df0a1-0c58-4f55-9868-9c38f1db1006,,Fecha y Hora de Acreditación de Seguro,Fecha y hora de la última acreditación de seguro registrada,java.lang.String,,
