Uuid,Void/Retire,Name,Description,Program concept,Outcomes concept,Retire Reason,_order:1000
b9db5c39-2855-4c61-9f25-9a7ec2d564bc,,Control de Niño Sano,"Control de Niño Sano.",Control de Crecimiento y Desarrollo,,,
3cb4ffd6-1b67-4c52-8398-4bf9844a415e,,Madre Gestante,"Madre Gestante.",Madre Gestante,,,
5c6b44f5-be98-48b6-bd58-de2b5db86a12,,Programa de Vacunación Infantil,Programa diseñado para rastrear y garantizar la administración de vacunas infantiles desde el nacimiento hasta los 11 años,Esquema de Vacunación Infantil,,,
33c6c07b-1fdb-4e1f-b0e8-d972e1ed2336,true,Inmunización para Adultos,"Programa enfocado en el seguimiento de las vacunas recomendadas para adultos, como Influenza, Hepatitis B y COVID-19.",Esquema de Vacunación para Adultos,,Programa reemplazado por configuración vigente,
b7253158-b540-4d8f-9b98-462258b8775d,true,Inmunización para Personas Mayores,"Programa para garantizar la administración de vacunas clave para personas mayores de 60 años, como Neumococo, Influenza y Herpes Zóster.",Esquema de Vacunación para Personas Mayores,,Programa reemplazado por configuración vigente,
3cb4ffd6-1b67-4c52-8398-4bf9844a415b,true,Inmunización para Viajeros,"Programa que permite administrar y rastrear vacunas necesarias para viajeros, dependiendo del destino, como Fiebre Amarilla y Hepatitis A.",Esquema de Vacunación para Viajeros,,Programa reemplazado por configuración vigente,
41d6f9c4-7b3e-4fbd-9e8b-1f9c0a3b9e7d,,Inmunización para Embarazadas,"Programa diseñado para garantizar la administración de vacunas clave durante el embarazo, como Tdap e Influenza, para proteger a la madre y al bebé. Basado en la NTS N° 196-MINSA/2022.",Esquema de Vacunación para Embarazadas,,,
f43fa551-d559-4268-856b-7e16b37ab712,,Tuberculosis,"Programa de cuidado integral de la persona afectada por tuberculosis, familia y comunidad. Incluye diagnóstico, tratamiento DOT, seguimiento y control de contactos. Basado en la NTS N° 200-MINSA/DGIESP-2023 (RM 339-2023).",Programa de Tuberculosis,,,
1eb6833d-fc44-4d2c-b243-ddab949479b3,,VIH/SIDA,"Programa de atención integral del adulto y niño con infección por VIH. Incluye tamizaje, diagnóstico, TARGA, prevención de transmisión vertical y seguimiento con CD4/Carga Viral. Basado en la NTS N° 169-MINSA/2020 (RM 1024-2020) y NTS N° 167-MINSA/2020.",SIH.SALUS HIV program,,,
6b4399cb-1758-4af2-953f-efada7ddecd2,,Adulto Mayor,"Programa de cuidado integral de salud de las personas adultas mayores (60+ años). Incluye Valoración Clínica del Adulto Mayor (VACAM), evaluación funcional, cognitiva, nutricional y tamizaje de depresión. Basado en la NTS N° 207-MINSA/DGIESP-2023 (RM 789-2023).",SIH.SALUS older adult program,,,
720a0a1e-6cd1-426e-968c-7488bb39e9a3,,Planificación Familiar,"Programa de salud sexual y reproductiva que incluye consejería, provisión de métodos anticonceptivos y seguimiento. Basado en la NTS N° 124-MINSA/2016 (RM 652-2016).",de908063-228c-43ea-888c-9f437e5794ba,,,
0f44d58d-c1aa-4ea9-bf1c-46cf9e05b47b,,Enfermedades No Transmisibles,"Programa de prevención y control de enfermedades no transmisibles: hipertensión arterial, diabetes mellitus, enfermedad renal crónica y tamizaje de cáncer (cervical y mama). Basado en el PP 0018 y PP 0024.",Enfermedades No Transmisibles,,,
944c8c9b-2688-4c4f-bef3-ea0eef3ff308,,Enfermedades Metaxénicas y Zoonosis,"Programa de vigilancia, prevención y control de enfermedades transmitidas por vectores y zoonosis: dengue, malaria, leptospirosis, leishmaniasis y bartonelosis. Basado en el PP 0017.",Enfermedades Metaxénicas y Zoonosis,,,
