Uuid,Void/Retire,Program,Workflow concept
41dc3091-cf1c-4a54-bbc6-98b762c87f28,,Control de Niño Sano,Estado del resultado del paciente
97bffd13-168a-45b0-9204-7a97dd6dafa0,,Madre Gestante,Estado del resultado del paciente
f8df9c54-3123-466b-ab23-d911e5204e85,,Programa de Vacunación Infantil,Estado del resultado del paciente
63e90d83-2df6-4851-949e-1d145f52a665,,Inmunización para Embarazadas,Estado del resultado del paciente
05b2858d-85e8-403a-ba4c-7965b8e3dd1a,,Tuberculosis,Estado del resultado del paciente
5bae440a-c7cf-4a7c-8e53-e6e23e1666f9,,VIH/SIDA,Estado del resultado del paciente
ad2b9dce-8cc0-4d30-ac74-ff19fbbd2f43,,Adulto Mayor,Estado del resultado del paciente
3eb862d6-1e88-4ac8-9e48-eff89f54e442,,Planificación Familiar,Estado del resultado del paciente
f0b40591-cdbc-44e6-9cb4-5452081dd7c9,,Enfermedades No Transmisibles,Estado del resultado del paciente
031f90e5-f40d-46dd-a1b0-6e49a9237d66,,Enfermedades Metaxénicas y Zoonosis,Estado del resultado del paciente
