Uuid,Void/Retire,Name,Description,Service,Status Concept Set,Priority Concept Set,Location
a1b2c3d4-e5f6-47a8-b9c0-d1e2f3a4b5c6,,Cola de Admisión Hospital,Cola para atención de admisión de pacientes en el hospital,b866f130-b413-417f-ad5b-5b65daadbcf5,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b72c1602
b2c3d4e5-f6a7-48b9-c0d1-e2f3a4b5c6d7,,Cola de Admisión Casita Azul,Cola para atención de admisión de pacientes en Casita Azul,b866f130-b413-417f-ad5b-5b65daadbcf5,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b72c1603
c3d4e5f6-a7b8-49c0-d1e2-f3a4b5c6d7e8,,Cola de Triaje,Cola de triaje genérica para clasificación de pacientes,ea771a12-c8e4-49fd-a09c-6d6d8796aaa4,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b72c1602
d4e5f6a7-b8c9-40d1-e2f3-a4b5c6d7e8f9,,Cola de Consulta Externa,Cola compartida para prestaciones ambulatorias dentro de la UPSS Consulta Externa,51ce03e2-8987-4431-9e42-f8adca946c2c,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b2400001
e5f6a7b8-c9d0-41e2-f3a4-b5c6d7e8f9a0,,Cola de Farmacia,Cola para atención farmacéutica y dispensación de medicamentos,69d1f46b-c4cb-4760-afd2-d186c127f6ba,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b2400007
f6a7b8c9-d0e1-42f3-a4b5-c6d7e8f9a0b1,,Cola de Patología Clínica,Cola para procedimientos de la cartera habilitada de patología clínica,5b3fc3a4-99a0-40ec-a1e2-058a032619c9,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b2400006
a7b8c9d0-e1f2-43a4-b5c6-d7e8f9a0b1c2,,Cola de Hospitalización,Cola para gestión de ingresos y atención hospitalaria,0e4aef19-d959-42e3-bf0b-853d3296ed59,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b2400002
b8c9d0e1-f2a3-44b5-c6d7-e8f9a0b1c2d3,,Cola de Emergencia,Cola para atención inmediata en urgencias y emergencias,e19800e7-c5a4-44b4-813d-04ad686e8151,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b2400003
c9d0e1f2-a3b4-45c6-d7e8-f9a0b1c2d3e4,,Cola de Centro Obstétrico,Cola del flujo intrahospitalario de centro obstétrico,44a5c416-af63-40f6-8167-f283f40fcab0,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b2400004
d0e1f2a3-b4c5-46d7-e8f9-a0b1c2d3e4f5,,Cola de Centro Quirúrgico,Cola para procedimientos dentro del centro quirúrgico,242d6a36-c921-4ad8-971e-89cf39df525d,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b2400005
e1f2a3b4-c5d6-47e8-f9a0-b1c2d3e4f5a6,,Cola de Diagnóstico por Imágenes,Cola para estudios de ecografía general y Doppler,d0dc9239-a16f-4efb-a313-4b9135dca233,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b2400013
f2a3b4c5-d6e7-48f9-a0b1-c2d3e4f5a6b7,,Cola de Anatomía Patológica,Cola para análisis de tejidos y diagnósticos patológicos,abe0d9a9-5b90-4029-b2bc-c3077c57c884,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b2400008
a3b4c5d6-e7f8-49a0-b1c2-d3e4f5a6b7c8,TRUE,Cola de Central de Esterilización,Cola retirada: Central de Esterilización es UPSS de soporte interno y no cola de atención de pacientes.,0f819fa7-864f-4f60-a50a-03d0b82daa73,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b2400009
b4c5d6e7-f8a9-40b1-c2d3-e4f5a6b7c8d9,,Cola de Rehabilitación,Cola para terapias y recuperación de pacientes,e771ce10-6edd-4d17-a54c-e5de0762b7c7,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b2400010
c5d6e7f8-a9b0-41c2-d3e4-f5a6b7c8d9e0,,Cola de Hemodiálisis,Cola para tratamiento de diálisis renal,c10289d4-0f22-4f0e-8242-1835259404d5,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b2400011
d6e7f8a9-b0c1-42d3-e4f5-a6b7c8d9e0f1,,Cola de Atención Nutricional,Cola dedicada a la atención ambulatoria por nutricionista dentro de la UPSS Consulta Externa,0e56ea09-42ea-4f66-ad53-76cbc770dcfa,a10612bc-373d-44cf-8a1a-277e65f7fcf9,d736c954-601f-4d8b-b778-6df7f3ed3767,35d2234e-129a-4c40-abb2-1ae0b2400001
b1c5bb01-d78f-4f7e-b66d-b8bfe6887cf0,,Cola de Triaje de Emergencia,Cola de pre-triaje de emergencia: clasificación inicial Emergencia/Urgencia previa a la toma de signos vitales según NT N° 042-MINSA,e19800e7-c5a4-44b4-813d-04ad686e8151,a10612bc-373d-44cf-8a1a-277e65f7fcf9,3f4db8e2-241c-45ef-8e52-cea8dc4118f0,35d2234e-129a-4c40-abb2-1ae0b2400003
ebd44a3d-9ecd-47a0-aa49-1279386b3ffe,,Cola de Atención de Emergencia,Cola de atención de emergencia post-triaje con prioridades I-IV según NT N° 042-MINSA,e19800e7-c5a4-44b4-813d-04ad686e8151,a10612bc-373d-44cf-8a1a-277e65f7fcf9,933e6d55-d64a-498d-b1b2-b3d5242e4199,35d2234e-129a-4c40-abb2-1ae0b2400003
