Uuid,Void/Retire,Name,Description,Weight,Preferred,A is to B,B is to A
e6be4def-dbc8-462a-8714-53da66903cb8,,Madre,La relación de una madre con su hijo,1,true,Madre,Hijo
8d91a210-c2cc-11de-8d13-0010c6dffd0f,,Padre,La relación de un padre con su hijo,1,true,Padre,Hijo
8d91a01c-c2cc-11de-8d13-0010c6dffd0f,,Hermano,La relación entre hermanos biológicos,2,true,Hermano,Hermano
5c2f978d-3b7d-493c-9e8f-cb3d1c0b6a55,,Abuelo,La relación entre un abuelo y su nieto,2,true,Abuelo,Nieto
ea373db3-5902-4307-9258-f35b79f8c8a0,,Tío,La relación entre un tío y su sobrino,3,false,Tío,Sobrino
057de23f-3d9c-4314-9391-4452970739c6,,Apoderado,Relación legal entre un tutor y un menor de edad bajo su cuidado,0,false,Apoderado,Poderdante
6b1c5e8f-32f7-41b3-bc2a-8b3e97a6d937,,Esposo,Relación de matrimonio entre cónyuges,0,false,Esposo,Esposa
c964be38-ffda-45ec-ab8c-2dcdfafdd1a8,,Pareja,Relación de pareja en unión libre,0,false,Pareja,Pareja
8d919b58-c2cc-11de-8d13-0010c6dffd0f,,Doctor,Relación entre un profesional de salud y el paciente en atención médica,0,false,Doctor,Paciente
2c26e48e-b72d-468f-9300-2dccb7f46f88,,Promotor de Salud,Relación entre un promotor de salud y su comunidad,0,false,Promotor de Salud,Comunidad
8c8bbfe3-8454-41f9-a180-55f7058af9bd,,Agente Comunitario,Relación entre un Agente Comunitario de Salud (ACS) y el paciente,0,false,Agente Comunitario,Paciente
97dc2a49-14b5-45b9-82ee-eba0b5d1d418,,Apu,Relación de liderazgo entre el Apu y su comunidad,0,false,Apu,Comunidad
a2b5c9f8-0d2a-4bdf-8d9b-6f3b2d1e5a2f,,Otro,Relación no categorizada dentro del esquema,0,false,Otro,Otro
3501ac02-0fb0-4ced-8a3e-f578f0ff5276,,Acompañante,Persona que acompaña al paciente durante la atención,0,false,Acompañante,Acompañado
88db8237-ce55-4dec-99f8-ad8854735ba7,,Primo,Relación entre primos hermanos (cuarto grado de consanguinidad colateral),4,false,Primo,Primo
ee7ab8d4-1c75-47c1-8339-047a85e1880b,,Bisabuelo,Relación entre un bisabuelo y su bisnieto (tercer grado de consanguinidad en línea recta),3,false,Bisabuelo,Bisnieto
fd6b17aa-a0cc-464d-b6cd-b4dd15f2893e,,Padrastro,Relación de afinidad entre el padrastro y su hijastro (sin consanguinidad),0,false,Padrastro,Hijastro
9cf7e2ca-b3ea-4f8d-ac26-bcccbec509b2,,Madrastra,Relación de afinidad entre la madrastra y su hijastro (sin consanguinidad),0,false,Madrastra,Hijastro
5d542bc2-78eb-4f02-8207-d1d7309b7215,,Padre adoptivo,Relación de filiación legal entre un padre adoptivo y su hijo adoptivo (sin consanguinidad biológica),0,false,Padre adoptivo,Hijo adoptivo
18e663df-4587-486a-abd6-e4f440dcb731,,Madre adoptiva,Relación de filiación legal entre una madre adoptiva y su hijo adoptivo (sin consanguinidad biológica),0,false,Madre adoptiva,Hijo adoptivo
488f6542-fa00-473f-91a8-39abe5472fc3,,Yerno,Relación de afinidad entre un suegro y su yerno (sin consanguinidad),0,false,Suegro,Yerno
f29a285e-aff3-40e6-976e-f244a1e83536,,Nuera,Relación de afinidad entre un suegro y su nuera (sin consanguinidad),0,false,Suegro,Nuera
